player_id,team_id,label,is_active
8482062,NSH,C. Smith,0
8475287,NSH,E. Haula,0
8476887,NSH,F. Forsberg,0
8482768,NSH,F. Svechkov,0
8481020,NSH,J. Annunen,0
8482111,NSH,J. Barron,0
8476539,NSH,J. Marchessault,0
8477424,NSH,J. Saros,0
8482146,NSH,L. Evangelista,0
8478047,NSH,M. Bunting,0
8477446,NSH,M. McCarron,0
8484241,NSH,M. Wood,0
8483565,NSH,N. Blankenburg,0
8479980,NSH,N. Hague,0
8480246,NSH,N. Perbix,0
8482103,NSH,O. Wiesblatt,0
8474600,NSH,R. Josi,0
8475158,NSH,R. O'Reilly,0
8483513,NSH,R. Schaefer,0
8474564,NSH,S. Stamkos,0
8479370,NSH,T. Jost,0
8480871,NYI,A. Boqvist,0
8477407,NYI,A. Duclair,0
8475314,NYI,A. Lee,0
8476917,NYI,A. Pelech,0
8477500,NYI,B. Horvat,0
8475231,NYI,C. Cizikas,0
8484221,NYI,C. Ritchie,0
8477369,NYI,C. Soucy,0
8479496,NYI,D. Rittich,0
8482476,NYI,E. Heineman,0
8483448,NYI,I. George,0
8478009,NYI,I. Sorokin,0
8477494,NYI,J. Drouin,0
8476419,NYI,J. Pageau,0
8481237,NYI,K. MacLean,0
8478445,NYI,M. Barzal,0
8483553,NYI,M. Gatcomb,0
8485366,NYI,M. Schaefer,0
8485702,NYI,M. Shabanov,1
8484958,NYI,M. Tsyplakov,1
8476292,NYI,O. Palat,0
8477506,NYI,R. Pulock,0
8481601,NYI,S. Holmstrom,0
8476429,NYI,S. Mayfield,0
8477950,NYI,T. DeAngelo,0
8477320,NYR,A. Blidh,0
8482109,NYR,A. Lafrenière,0
8478550,LAK,A. Panarin,1
8482132,NYR,B. Berard,0
8482747,NYR,B. Othmann,0
8482073,NYR,B. Schneider,0
8484210,NYR,G. Perreault,0
8477380,NYR,J. Brodzinski,0
8476468,NYR,J. Miller,0
8471734,NYR,J. Quick,0
8482460,NYR,M. Rempe,0
8481525,NYR,M. Robertson,0
8476459,NYR,M. Zibanejad,0
8483690,NYR,N. Laba,0
8475842,NYR,S. Carrick,0
8477484,NYR,S. Martin,0
8482666,NYR,S. Morrow,0
8479390,NYR,T. Raddysh,0
8480001,NYR,U. Vaakanainen,0
8478882,NYR,V. Gavrikov,1
8482861,NYR,V. Iorio,0
8476389,NYR,V. Trocheck,0
